Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
10/12/2023,53989,32155,86144,15000,4802,19802,18840,29499,32155,61654,2198,4688
10/11/2023,53832,32138,85970,14990,4664,19654,18834,29492,32138,61630,2195,4686
10/10/2023,53865,32139,86004,14953,4752,19705,18808,29471,32139,61610,2197,4689
10/09/2023,53804,32160,85964,14945,4753,19698,18824,29497,32160,61657,2157,4609
10/08/2023,53562,31999,85561,14946,4662,19608,18730,29353,31999,61352,2154,4601
10/07/2023,53566,32051,85617,14910,4667,19577,18753,29384,32051,61435,2156,4605
10/06/2023,53490,31917,85407,14848,4760,19608,18684,29275,31917,61192,2156,4607
10/05/2023,53552,31874,85426,14958,4754,19712,18661,29237,31874,61111,2155,4603
10/04/2023,53426,31842,85268,14928,4751,19679,18615,29172,31842,61014,2144,4575
10/03/2023,53402,31776,85178,14923,4753,19676,18578,29120,31776,60896,2158,4606
10/02/2023,53386,31784,85170,14966,4734,19700,18570,29097,31784,60881,2150,4589
10/01/2023,53307,31735,85042,14948,4716,19664,18559,29062,31735,60797,2146,4581
09/30/2023,53396,31712,85108,15009,4726,19735,18565,29066,31712,60778,2154,4595
09/29/2023,53422,31660,85082,15013,4759,19772,18536,29036,31660,60696,2164,4614
09/28/2023,53567,31680,85247,15128,4759,19887,18555,29053,31680,60733,2167,4627
09/27/2023,53584,31656,85240,15149,4771,19920,18542,29047,31656,60703,2162,4617
09/26/2023,53497,31597,85094,15078,4783,19861,18501,28998,31597,60595,2172,4638
09/25/2023,53387,31450,84837,15093,4807,19900,18413,28867,31450,60317,2165,4620
09/24/2023,53373,31565,84938,15026,4795,19821,18484,28960,31565,60525,2150,4592
09/23/2023,53217,31508,84725,14967,4779,19746,18439,28886,31508,60394,2146,4585
09/22/2023,53129,31469,84598,14915,4739,19654,18416,28860,31469,60329,2160,4615
09/21/2023,53209,31450,84659,14980,4789,19769,18399,28828,31450,60278,2160,4612
09/20/2023,53097,31403,84500,14920,4782,19702,18360,28771,31403,60174,2164,4624
09/19/2023,53050,31312,84362,14949,4787,19736,18318,28703,31312,60015,2159,4611
09/19/2023,53050,31312,84362,14949,4787,19736,18318,28703,31312,60015,2159,4611
09/18/2023,52981,31253,84234,14937,4799,19736,18282,28642,31253,59895,2156,4603
09/18/2023,52981,31253,84234,14937,4799,19736,18282,28642,31253,59895,2156,4603
09/17/2023,53006,31302,84308,14973,4762,19735,18312,28673,31302,59975,2153,4598
09/17/2023,53006,31302,84308,14973,4762,19735,18312,28673,31302,59975,2153,4598
09/16/2023,53043,31293,84336,14978,4780,19758,18299,28677,31293,59970,2159,4608
09/15/2023,53063,31240,84303,15009,4751,19760,18280,28652,31240,59892,2180,4651
09/14/2023,53104,31180,84284,15090,4809,19899,18232,28570,31180,59750,2171,4635
09/13/2023,52995,31114,84109,15057,4792,19849,18183,28506,31114,59620,2174,4640
09/12/2023,53004,31076,84080,15062,4808,19870,18160,28487,31076,59563,2177,4647
09/11/2023,52827,30977,83804,14988,4780,19768,18112,28420,30977,59397,2172,4639
09/10/2023,52777,31034,83811,14938,4757,19695,18140,28455,31034,59489,2167,4627
09/09/2023,52721,30858,83579,14955,4770,19725,18034,28294,30858,59152,2203,4702
09/08/2023,52776,30812,83588,14979,4833,19812,18020,28270,30812,59082,2198,4694
09/07/2023,52683,30700,83383,14978,4792,19770,17960,28192,30700,58892,2211,4721
09/06/2023,52602,30670,83272,14953,4791,19744,17937,28147,30670,58817,2206,4711
09/05/2023,52654,30518,83172,15121,4770,19891,17833,28006,30518,58524,2229,4757
09/04/2023,52518,30468,82986,15055,4749,19804,17810,27962,30468,58430,2229,4752
09/03/2023,52609,30505,83114,15150,4780,19930,17816,27977,30505,58482,2203,4702
09/02/2023,52484,30415,82899,15080,4761,19841,17777,27919,30415,58334,2214,4724
09/01/2023,52542,30387,82929,15113,4797,19910,17753,27885,30387,58272,2227,4747
08/31/2023,52588,30287,82875,15237,4801,20038,17693,27790,30287,58077,2234,4760
08/30/2023,52654,30244,82898,15259,4809,20068,17665,27755,30244,57999,2269,4831
08/29/2023,52651,30173,82824,15330,4781,20111,17605,27688,30173,57861,2279,4852
08/28/2023,52792,30084,82876,15444,4766,20210,17549,27586,30084,57670,2348,4996
08/27/2023,52712,29998,82710,15496,4740,20236,17495,27511,29998,57509,2335,4965
08/26/2023,52696,29936,82632,15502,4745,20247,17465,27455,29936,57391,2347,4994
08/25/2023,52687,29921,82608,15396,4748,20144,17464,27457,29921,57378,2389,5086
08/24/2023,53315,29821,83136,15580,4783,20363,17395,27347,29821,57168,2638,5605
08/23/2023,53215,29738,82953,15564,4774,20338,17365,27295,29738,57033,2628,5582
08/22/2023,53112,29691,82803,15446,4746,20192,17334,27263,29691,56954,2665,5657
08/21/2023,53227,29619,82846,15621,4743,20364,17293,27198,29619,56817,2668,5665
08/20/2023,53361,29500,82861,15934,4729,20663,17219,27076,29500,56576,2645,5622
08/19/2023,53400,29383,82783,16088,4725,20813,17160,26963,29383,56346,2645,5624
08/18/2023,53470,29270,82740,16249,4703,20952,17100,26871,29270,56141,2657,5647
08/17/2023,53708,29265,82973,16449,4739,21188,17094,26851,29265,56116,2669,5669
08/16/2023,53943,29311,83254,16660,4706,21366,17132,26902,29311,56213,2670,5675
08/15/2023,54045,29215,83260,16822,4716,21538,17078,26819,29215,56034,2675,5688
08/14/2023,54065,29266,83331,16801,4712,21513,17090,26837,29266,56103,2689,5715
08/13/2023,53945,29214,83159,16709,4710,21419,17075,26809,29214,56023,2688,5717
08/12/2023,53924,29121,83045,16774,4707,21481,17026,26733,29121,55854,2687,5710
08/11/2023,53758,28916,82674,16815,4719,21534,16902,26521,28916,55437,2684,5703
08/10/2023,53736,28970,82706,16793,4700,21493,16915,26530,28970,55500,2688,5713
08/09/2023,53759,28963,82722,16801,4701,21502,16929,26533,28963,55496,2694,5724
08/08/2023,53753,28867,82620,16782,4734,21516,16893,26480,28867,55347,2710,5757
08/07/2023,53459,28727,82186,16617,4734,21351,16820,26344,28727,55071,2717,5764
08/06/2023,53394,28648,82042,16626,4700,21326,16781,26288,28648,54936,2723,5780
08/05/2023,53406,28623,82029,16677,4680,21357,16776,26270,28623,54893,2722,5779
08/04/2023,53462,28582,82044,16762,4661,21423,16739,26225,28582,54807,2738,5814
08/03/2023,53580,28552,82132,16981,4592,21573,16716,26171,28552,54723,2747,5836
08/02/2023,53634,28466,82100,16997,4666,21663,16683,26118,28466,54584,2757,5853
08/01/2023,53745,28462,82207,17023,4697,21720,16671,26121,28462,54583,2784,5904
07/31/2023,53830,28398,82228,17015,4708,21723,16643,26093,28398,54491,2835,6014
07/30/2023,53849,28392,82241,16933,4695,21628,16638,26091,28392,54483,2886,6130
07/29/2023,53909,28366,82275,16945,4717,21662,16635,26085,28366,54451,2900,6162
07/28/2023,53883,28333,82216,16999,4682,21681,16595,26038,28333,54371,2903,6164
07/27/2023,53977,28318,82295,17047,4772,21819,16587,26020,28318,54338,2891,6138
07/26/2023,53851,28290,82141,16967,4751,21718,16559,25976,28290,54266,2899,6157
07/25/2023,53848,28312,82160,16952,4754,21706,16564,25996,28312,54308,2895,6146
07/24/2023,53954,28291,82245,17050,4753,21803,16544,25979,28291,54270,2906,6172
07/23/2023,53801,28269,82070,16971,4710,21681,16522,25948,28269,54217,2904,6172
07/22/2023,53762,28324,82086,16891,4713,21604,16544,25970,28324,54294,2912,6188
07/21/2023,53851,28270,82121,16962,4752,21714,16527,25953,28270,54223,2910,6184
07/20/2023,53891,28225,82116,16943,4794,21737,16513,25940,28225,54165,2925,6214
07/19/2023,53797,28209,82006,16905,4784,21689,16491,25913,28209,54122,2916,6195
07/18/2023,53741,28205,81946,16868,4782,21650,16489,25919,28205,54124,2904,6172
07/17/2023,53732,28225,81957,16867,4769,21636,16490,25923,28225,54148,2905,6173
07/16/2023,53610,28238,81848,16813,4725,21538,16491,25923,28238,54161,2891,6149
07/15/2023,53560,28248,81808,16720,4747,21467,16508,25935,28248,54183,2895,6158
07/14/2023,53563,28162,81725,16790,4739,21529,16477,25887,28162,54049,2891,6147
07/13/2023,53713,28203,81916,16887,4751,21638,16505,25929,28203,54132,2894,6146
07/12/2023,53507,28096,81603,16781,4742,21523,16445,25850,28096,53946,2887,6134
07/11/2023,53469,28025,81494,16819,4732,21551,16411,25773,28025,53798,2893,6145
07/10/2023,53403,27927,81330,16770,4735,21505,16369,25721,27927,53648,2909,6177
07/09/2023,53486,27895,81381,16973,4710,21683,16337,25683,27895,53578,2881,6120
07/08/2023,53471,27865,81336,16943,4729,21672,16329,25665,27865,53530,2887,6134
07/07/2023,53545,27859,81404,16968,4719,21687,16308,25654,27859,53513,2922,6204
07/06/2023,53579,27818,81397,17025,4729,21754,16287,25628,27818,53446,2918,6197
07/05/2023,53763,27811,81574,17148,4721,21869,16306,25663,27811,53474,2935,6231
07/04/2023,53463,27684,81147,16965,4699,21664,16246,25552,27684,53236,2946,6247
07/03/2023,53493,27677,81170,17033,4703,21736,16239,25546,27677,53223,2927,6211
07/02/2023,53352,27630,80982,16942,4696,21638,16204,25498,27630,53128,2927,6216
07/01/2023,53389,27681,81070,16909,4677,21586,16240,25545,27681,53226,2948,6258
